,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range,labels
5646,M,32000,5,2,5,89,7,2,2,40-49,10-14,5-9,5-9,40-49,90-100,40-49,20-29,0
5647,M,88000,4,4,5,120,24,2,2,50-59,5-9,5-9,5-9,80-89,80-89,40-49,20-29,2
5648,O,32000,6,6,6,357,21,3,1,60-69,15-19,5-9,5-9,90-100,90-100,10-19,30-39,0
5649,M,36000,3,5,6,38,2,2,2,20-29,15-19,5-9,5-9,80-89,50-59,20-29,40-49,0
5650,F,116000,1,0,2,180,30,0,2,60-69,5-9,0-4,0-4,0-9,50-59,60-69,40-49,-1
5651,M,50000,0,2,3,5,2,1,1,20-29,0-4,0-4,0-4,60-69,0-9,50-59,50-59,0
5652,F,57000,2,5,5,87,14,2,0,60-69,5-9,5-9,0-4,90-100,40-49,0-9,20-29,2
5653,M,97000,3,2,6,117,19,1,2,50-59,5-9,0-4,5-9,30-39,50-59,40-49,50-59,-1
5654,F,48000,3,4,4,231,15,2,1,60-69,15-19,5-9,0-4,90-100,70-79,30-39,30-39,0
5655,F,80000,2,4,4,111,22,1,1,50-59,5-9,5-9,0-4,90-100,50-59,30-39,20-29,2
5656,M,44000,3,2,3,104,10,0,3,30-39,10-14,0-4,5-9,60-69,90-100,30-39,20-29,0
5657,F,43000,0,2,3,8,2,2,0,40-49,0-4,0-4,0-4,60-69,0-9,0-9,60-69,0
5658,F,61000,2,5,5,95,15,1,1,30-39,5-9,0-4,0-4,90-100,40-49,30-39,30-39,2
5659,M,53000,1,4,5,32,3,3,1,20-29,5-9,5-9,0-4,80-89,20-29,30-39,50-59,2
5660,M,57000,4,3,6,63,3,1,3,60-69,15-19,0-4,10-14,50-59,60-69,30-39,50-59,0
5661,M,55000,3,4,4,148,11,1,1,60-69,10-14,5-9,0-4,90-100,70-79,30-39,10-19,0
5662,F,85000,0,1,2,102,20,0,1,70-79,5-9,0-4,0-4,50-59,0-9,90-100,10-19,-1
5663,F,61000,1,3,5,35,3,1,1,70-79,10-14,0-4,0-4,60-69,20-29,90-100,50-59,0
5664,F,59000,2,2,2,122,17,0,1,40-49,5-9,0-4,5-9,90-100,90-100,10-19,50-59,-1
5665,F,73000,3,4,6,93,15,3,1,40-49,5-9,5-9,0-4,60-69,50-59,30-39,40-49,2
5666,M,70000,0,2,5,33,3,2,1,30-39,5-9,5-9,0-4,40-49,0-9,90-100,40-49,2
5667,M,66000,2,5,5,14,14,2,2,40-49,0-4,5-9,5-9,90-100,40-49,40-49,20-29,0
5668,F,108000,3,2,4,154,25,1,2,50-59,5-9,0-4,5-9,50-59,70-79,40-49,50-59,2
5669,M,41000,2,5,5,32,3,2,1,40-49,10-14,5-9,0-4,90-100,40-49,30-39,20-29,0
5670,F,59000,4,4,4,123,15,1,3,50-59,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
5671,M,36000,0,3,3,7,1,2,1,50-59,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
5672,M,80000,5,6,6,79,19,1,3,80+,0-4,0-4,10-14,90-100,80-89,20-29,30-39,0
5673,M,82000,4,3,4,202,22,1,3,60-69,5-9,0-4,5-9,70-79,90-100,30-39,30-39,2
5674,F,36000,2,2,4,63,9,1,1,70-79,5-9,0-4,0-4,50-59,50-59,50-59,30-39,2
5675,F,35000,1,3,4,25,4,2,1,50-59,5-9,5-9,0-4,70-79,20-29,50-59,30-39,2
5676,F,88000,2,2,4,157,22,0,2,80+,5-9,0-4,5-9,50-59,50-59,30-39,30-39,2
5677,F,106000,4,4,6,141,28,3,3,70-79,5-9,5-9,5-9,60-69,60-69,40-49,40-49,2
5678,M,70000,1,2,3,102,17,2,0,70-79,5-9,0-4,0-4,60-69,30-39,0-9,50-59,2
5679,F,98000,2,2,3,193,27,1,1,60-69,5-9,0-4,0-4,60-69,60-69,50-59,30-39,2
5680,M,96000,4,4,5,219,24,3,1,50-59,5-9,5-9,0-4,80-89,80-89,50-59,30-39,-1
5681,M,93000,3,5,6,117,19,2,2,40-49,5-9,5-9,5-9,80-89,50-59,40-49,40-49,2
5682,F,110000,4,3,5,223,27,3,1,80+,5-9,5-9,0-4,60-69,80-89,30-39,30-39,2
5683,M,76000,2,4,4,47,23,1,0,50-59,0-4,5-9,0-4,90-100,50-59,0-9,10-19,0
5684,F,45000,0,3,5,7,2,1,2,30-39,0-4,0-4,0-4,60-69,0-9,60-69,90-100,0
5685,M,55000,5,5,6,103,3,2,3,50-59,30+,5-9,5-9,80-89,80-89,30-39,30-39,2
5686,M,70000,0,3,3,8,4,0,2,60-69,0-4,0-4,0-4,90-100,0-9,50-59,30-39,0
5687,M,74000,4,4,5,139,17,1,1,60-69,5-9,5-9,0-4,80-89,80-89,30-39,10-19,2
5688,M,75000,5,4,6,359,18,1,3,50-59,15-19,5-9,5-9,60-69,80-89,30-39,10-19,0
5689,M,52000,0,2,5,12,2,1,3,70-79,5-9,0-4,5-9,40-49,0-9,60-69,50-59,2
5690,F,60000,3,2,5,139,17,3,0,30-39,5-9,5-9,0-4,40-49,60-69,0-9,40-49,2
5691,F,96000,5,5,5,260,23,3,1,70-79,10-14,10-14,0-4,90-100,90-100,30-39,20-29,0
5692,M,33000,1,2,5,27,3,2,1,30-39,5-9,0-4,0-4,40-49,20-29,30-39,60-69,2
5693,F,78000,4,3,5,115,19,1,2,50-59,5-9,0-4,10-14,60-69,80-89,10-19,90-100,2
5694,F,31000,0,3,3,231,28,0,1,50-59,5-9,0-4,0-4,90-100,0-9,50-59,90-100,2
5695,M,58000,4,3,5,76,4,1,3,30-39,15-19,0-4,10-14,60-69,80-89,30-39,50-59,0
5696,M,68000,4,4,4,141,20,2,2,50-59,5-9,5-9,5-9,90-100,90-100,30-39,30-39,2
5697,F,85000,5,4,5,158,19,2,2,70-79,5-9,5-9,5-9,80-89,90-100,30-39,20-29,2
5698,M,59000,4,4,6,263,16,2,1,30-39,15-19,5-9,0-4,60-69,60-69,30-39,20-29,0
5699,M,86000,2,4,6,62,20,3,0,40-49,0-4,10-14,0-4,60-69,30-39,0-9,20-29,0
5700,F,109000,1,2,2,77,25,1,0,50-59,0-4,0-4,0-4,90-100,50-59,0-9,30-39,0
5701,F,64000,0,3,4,16,2,1,0,60-69,5-9,0-4,0-4,70-79,0-9,0-9,20-29,1
5702,F,61000,1,2,5,22,4,0,4,60-69,5-9,0-4,5-9,40-49,20-29,50-59,20-29,-1
5703,F,110000,2,4,4,84,28,1,1,60-69,0-4,5-9,0-4,90-100,50-59,30-39,10-19,0
5704,F,106000,2,3,4,216,24,1,2,70-79,5-9,0-4,0-4,70-79,50-59,50-59,30-39,2
5705,M,73000,0,1,3,5,1,1,1,30-39,0-4,0-4,0-4,30-39,0-9,90-100,50-59,0
5706,M,31000,0,3,5,2,0,1,1,50-59,5-9,0-4,0-4,60-69,0-9,90-100,90-100,2
5707,F,105000,3,5,5,1148,127,3,0,70-79,5-9,5-9,0-4,90-100,60-69,0-9,30-39,2
5708,F,57000,4,6,6,120,15,3,2,80+,5-9,5-9,5-9,90-100,60-69,40-49,30-39,2
5709,F,51000,3,3,3,47,11,0,1,60-69,0-4,0-4,5-9,90-100,90-100,10-19,30-39,0
5710,M,60000,1,3,3,83,16,2,0,40-49,5-9,5-9,0-4,90-100,30-39,0-9,40-49,2
5711,F,107000,1,3,4,160,26,2,0,50-59,5-9,5-9,0-4,70-79,20-29,0-9,40-49,2
5712,M,92000,0,1,2,79,26,0,1,70-79,0-4,0-4,0-4,50-59,0-9,90-100,40-49,0
5713,F,92000,3,2,4,188,23,1,1,60-69,5-9,5-9,0-4,50-59,70-79,50-59,10-19,2
5714,M,47000,1,2,3,15,2,0,2,20-29,5-9,0-4,5-9,60-69,30-39,30-39,10-19,2
5715,M,33000,4,6,6,128,7,1,2,30-39,15-19,0-4,5-9,90-100,60-69,20-29,30-39,0
5716,F,83000,3,5,5,138,23,3,1,50-59,5-9,10-14,0-4,90-100,60-69,30-39,30-39,2
5717,M,51000,0,4,5,61,2,2,0,60-69,20-24,5-9,0-4,80-89,0-9,0-9,30-39,-1
5718,F,46000,1,1,3,14,3,1,2,50-59,0-4,0-4,0-4,30-39,30-39,50-59,90-100,0
5719,F,85000,6,5,6,91,22,2,3,60-69,0-4,5-9,10-14,80-89,90-100,20-29,30-39,0
5720,M,39000,0,4,5,14,2,2,1,60-69,5-9,0-4,0-4,80-89,0-9,20-29,50-59,-1
5721,F,83000,2,6,6,832,166,2,1,70-79,5-9,5-9,0-4,90-100,30-39,30-39,40-49,2
5722,F,51000,4,4,4,204,12,2,2,50-59,15-19,5-9,5-9,90-100,90-100,30-39,30-39,0
5723,M,36000,0,2,6,22,2,1,2,20-29,5-9,0-4,0-4,30-39,0-9,60-69,50-59,2
5724,M,33000,1,2,5,13,3,1,3,40-49,0-4,0-4,5-9,40-49,20-29,50-59,90-100,-1
5725,F,86000,4,3,5,166,23,3,1,70-79,5-9,5-9,0-4,60-69,80-89,30-39,30-39,2
5726,F,86000,2,3,5,124,24,0,2,50-59,5-9,0-4,5-9,60-69,40-49,40-49,30-39,2
5727,M,31000,0,3,4,8,1,2,1,50-59,5-9,0-4,0-4,70-79,0-9,50-59,50-59,2
5728,F,94000,4,5,5,130,21,1,2,70-79,5-9,0-4,5-9,90-100,80-89,20-29,30-39,2
5729,F,55000,2,4,4,108,12,1,1,50-59,5-9,0-4,0-4,90-100,50-59,30-39,30-39,2
5730,F,78000,1,3,4,28,14,2,1,50-59,0-4,5-9,0-4,70-79,20-29,30-39,40-49,0
5731,M,64000,6,6,6,190,17,3,1,30-39,10-14,5-9,5-9,90-100,90-100,10-19,30-39,0
5732,M,48000,2,5,5,24,3,2,2,60-69,5-9,0-4,5-9,90-100,40-49,20-29,50-59,2
5733,F,57000,4,4,4,310,14,1,2,20-29,20-24,5-9,5-9,90-100,90-100,30-39,10-19,0
5734,F,88000,3,5,5,154,30,2,1,50-59,5-9,10-14,0-4,90-100,60-69,30-39,20-29,2
5735,M,42000,1,5,6,18,3,2,2,50-59,5-9,0-4,5-9,80-89,10-19,30-39,50-59,2
5736,M,73000,2,4,4,101,25,1,2,50-59,0-4,5-9,5-9,90-100,50-59,40-49,20-29,0
5737,M,92000,1,2,3,45,22,2,0,50-59,0-4,5-9,0-4,60-69,30-39,0-9,30-39,0
5738,O,50000,0,1,5,15,2,0,3,80+,5-9,0-4,0-4,20-29,0-9,70-79,30-39,-1
5739,F,55000,2,5,5,38,2,1,2,50-59,10-14,0-4,5-9,90-100,40-49,30-39,20-29,0
5740,F,44000,2,4,6,28,4,2,1,60-69,5-9,5-9,0-4,60-69,30-39,50-59,40-49,2
5741,F,40000,0,3,3,65,8,1,0,30-39,5-9,0-4,0-4,90-100,0-9,0-9,20-29,1
5742,F,95000,5,4,6,229,28,2,3,80+,5-9,5-9,5-9,60-69,80-89,40-49,20-29,2
5743,F,58000,2,3,5,53,13,1,1,60-69,0-4,0-4,0-4,60-69,40-49,50-59,30-39,0
5744,M,44000,1,3,6,30,3,2,2,50-59,10-14,0-4,5-9,50-59,10-19,40-49,60-69,0
5745,M,69000,3,5,6,37,12,4,1,60-69,0-4,10-14,0-4,80-89,50-59,30-39,30-39,0
5746,M,34000,1,3,3,21,7,0,2,50-59,0-4,0-4,5-9,90-100,30-39,40-49,30-39,0
5747,F,66000,1,3,4,41,4,2,0,50-59,10-14,0-4,0-4,70-79,20-29,0-9,50-59,-1
5748,M,63000,1,4,5,27,1,0,2,60-69,15-19,0-4,5-9,80-89,20-29,40-49,50-59,0
5749,M,73000,4,4,5,147,16,2,2,50-59,5-9,5-9,5-9,80-89,80-89,20-29,30-39,2
5750,F,74000,2,3,6,19,2,1,3,40-49,5-9,0-4,5-9,50-59,30-39,30-39,90-100,-1
5751,F,67000,4,5,5,232,17,2,2,80+,10-14,5-9,5-9,90-100,80-89,30-39,30-39,0
5752,F,105000,2,3,4,169,28,2,1,60-69,5-9,0-4,0-4,70-79,50-59,30-39,50-59,2
5753,F,48000,2,3,5,158,8,1,3,50-59,15-19,0-4,5-9,60-69,40-49,50-59,50-59,0
5754,F,84000,0,4,4,124,24,1,2,80+,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
5755,F,87000,3,3,3,90,22,2,0,60-69,0-4,5-9,0-4,90-100,90-100,0-9,20-29,0
5756,M,57000,1,4,4,36,12,3,0,40-49,0-4,5-9,0-4,90-100,20-29,0-9,40-49,0
5757,F,65000,0,4,5,74,14,2,1,70-79,5-9,5-9,0-4,80-89,0-9,50-59,20-29,2
5758,M,40000,3,4,6,52,8,2,2,11-19,5-9,5-9,0-4,60-69,50-59,50-59,40-49,-1
5759,M,35000,0,3,5,14,1,3,2,20-29,5-9,5-9,0-4,60-69,0-9,60-69,60-69,2
5760,F,72000,4,4,6,89,22,3,2,60-69,0-4,10-14,0-4,60-69,60-69,50-59,30-39,0
5761,M,52000,2,5,5,18,2,2,2,50-59,5-9,0-4,5-9,90-100,40-49,30-39,50-59,2
5762,F,75000,2,4,4,139,19,1,0,50-59,5-9,5-9,0-4,90-100,50-59,0-9,10-19,2
5763,M,74000,3,4,5,88,4,1,3,20-29,15-19,0-4,5-9,80-89,60-69,30-39,30-39,0
5764,F,51000,0,1,1,36,12,0,0,60-69,0-4,0-4,0-4,90-100,0-9,0-9,30-39,0
5765,M,57000,2,3,5,153,13,2,0,30-39,10-14,5-9,0-4,60-69,40-49,0-9,40-49,0
5766,F,77000,4,4,6,107,17,2,1,50-59,5-9,5-9,5-9,60-69,60-69,10-19,40-49,2
5767,M,43000,0,2,4,22,3,2,2,30-39,5-9,0-4,0-4,50-59,0-9,60-69,60-69,2
5768,M,56000,2,4,4,71,17,2,2,70-79,0-4,5-9,5-9,90-100,50-59,40-49,40-49,0
5769,M,31000,0,5,6,33,2,2,0,60-69,10-14,5-9,0-4,80-89,0-9,0-9,30-39,0
5770,M,72000,1,4,5,33,4,2,2,20-29,5-9,0-4,0-4,80-89,20-29,50-59,50-59,2
5771,F,66000,5,3,5,126,14,1,3,80+,5-9,5-9,5-9,60-69,90-100,40-49,10-19,2
5772,F,55000,2,3,3,57,14,2,0,40-49,0-4,5-9,0-4,90-100,60-69,0-9,20-29,0
5773,M,58000,2,3,6,32,4,3,1,30-39,5-9,5-9,0-4,50-59,30-39,50-59,50-59,-1
5774,F,46000,0,2,4,17,2,2,1,11-19,5-9,0-4,0-4,50-59,0-9,50-59,60-69,2
5775,M,70000,3,4,4,208,20,1,1,50-59,10-14,5-9,0-4,90-100,70-79,30-39,10-19,0
5776,F,72000,2,0,5,52,17,1,2,70-79,0-4,0-4,5-9,0-9,40-49,40-49,90-100,-1
5777,F,54000,3,4,4,41,2,1,1,60-69,10-14,0-4,5-9,90-100,70-79,10-19,50-59,0
5778,F,87000,4,4,4,203,22,2,2,40-49,5-9,5-9,5-9,90-100,90-100,30-39,30-39,2
5779,M,32000,6,4,6,169,7,2,3,30-39,20-24,5-9,10-14,60-69,90-100,20-29,40-49,0
5780,M,38000,0,4,5,46,2,2,1,40-49,15-19,5-9,0-4,80-89,0-9,90-100,20-29,-1
5781,M,118000,3,3,6,106,21,1,1,80+,5-9,5-9,0-4,50-59,50-59,50-59,10-19,2
5782,M,67000,0,3,4,14,4,1,3,70-79,0-4,0-4,5-9,70-79,0-9,60-69,50-59,0
5783,M,49000,0,6,6,14,2,1,2,70-79,5-9,0-4,5-9,90-100,0-9,30-39,50-59,2
5784,F,58000,2,3,3,185,15,0,1,30-39,10-14,0-4,5-9,90-100,60-69,10-19,50-59,0
5785,M,39000,3,6,6,69,7,4,1,70-79,5-9,10-14,0-4,90-100,50-59,50-59,30-39,2
5786,M,56000,2,4,4,78,15,2,1,40-49,5-9,5-9,0-4,90-100,50-59,30-39,40-49,2
5787,M,36000,5,3,5,94,8,1,3,70-79,10-14,0-4,10-14,60-69,90-100,30-39,30-39,0
5788,M,53000,1,3,5,57,14,2,1,40-49,0-4,5-9,0-4,60-69,20-29,50-59,40-49,0
5789,M,57000,3,3,4,54,3,2,1,30-39,15-19,0-4,5-9,70-79,70-79,10-19,50-59,0
5790,M,63000,3,3,3,108,15,1,2,70-79,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
5791,M,38000,1,3,4,34,2,1,2,60-69,10-14,0-4,0-4,70-79,20-29,50-59,50-59,0
5792,M,79000,4,4,4,120,20,2,2,40-49,5-9,5-9,5-9,90-100,90-100,30-39,30-39,2
5793,F,60000,5,4,5,165,15,3,2,50-59,10-14,5-9,5-9,80-89,90-100,30-39,30-39,0
5794,F,69000,3,3,3,220,20,0,3,50-59,10-14,0-4,5-9,90-100,90-100,30-39,30-39,0
5795,M,46000,1,4,5,52,2,1,2,20-29,15-19,0-4,0-4,80-89,20-29,50-59,50-59,0
5796,M,33000,2,4,5,51,3,1,1,20-29,15-19,0-4,5-9,80-89,40-49,10-19,50-59,0
5797,M,55000,1,1,3,27,2,1,1,30-39,10-14,0-4,0-4,30-39,30-39,90-100,50-59,-1
5798,M,44000,3,3,4,202,11,0,2,60-69,15-19,0-4,5-9,70-79,70-79,20-29,50-59,0
5799,O,56000,5,6,6,113,12,3,1,70-79,5-9,10-14,0-4,90-100,80-89,30-39,20-29,2
5800,M,57000,4,4,6,132,14,2,2,50-59,5-9,5-9,5-9,60-69,60-69,20-29,40-49,2
5801,M,93000,2,4,4,87,21,1,2,50-59,0-4,0-4,5-9,90-100,50-59,40-49,30-39,0
5802,M,76000,0,4,4,44,22,2,1,70-79,0-4,0-4,0-4,90-100,0-9,50-59,50-59,0
5803,M,61000,3,4,6,198,10,2,2,40-49,15-19,0-4,5-9,60-69,50-59,30-39,50-59,0
5804,M,67000,0,3,4,21,3,2,1,20-29,5-9,5-9,0-4,70-79,0-9,90-100,30-39,2
5805,M,55000,0,2,4,11,2,0,1,11-19,0-4,0-4,0-4,50-59,0-9,90-100,30-39,0
5806,M,95000,2,2,2,904,90,1,1,70-79,10-14,0-4,0-4,90-100,90-100,30-39,30-39,0
5807,M,92000,4,4,4,332,22,2,2,70-79,15-19,5-9,5-9,90-100,90-100,30-39,30-39,0
5808,M,65000,4,4,5,211,15,2,2,40-49,10-14,5-9,5-9,80-89,80-89,40-49,30-39,0
5809,O,90000,2,3,4,55,27,1,2,50-59,0-4,0-4,5-9,70-79,50-59,40-49,30-39,0
5810,F,59000,5,5,6,275,16,3,2,30-39,15-19,5-9,5-9,80-89,80-89,40-49,30-39,0
5811,M,58000,3,3,3,137,17,2,1,50-59,5-9,5-9,0-4,90-100,90-100,30-39,30-39,2
5812,M,85000,3,5,6,175,21,3,1,50-59,5-9,5-9,0-4,80-89,50-59,30-39,30-39,2
5813,F,114000,2,4,4,103,25,2,0,70-79,0-4,5-9,0-4,90-100,50-59,0-9,30-39,0
5814,M,46000,2,2,4,37,2,1,3,50-59,10-14,0-4,5-9,50-59,50-59,50-59,50-59,0
5815,M,59000,0,3,4,13,2,3,1,20-29,5-9,5-9,0-4,70-79,0-9,50-59,60-69,2
5816,O,83000,0,5,5,20,20,2,0,50-59,0-4,0-4,0-4,90-100,0-9,0-9,50-59,0
5817,F,70000,3,5,5,224,18,1,2,60-69,10-14,0-4,5-9,90-100,60-69,30-39,30-39,0
5818,F,83000,2,4,4,140,20,1,2,60-69,5-9,0-4,5-9,90-100,50-59,40-49,30-39,2
5819,M,47000,1,1,2,29,2,0,2,20-29,10-14,0-4,0-4,50-59,50-59,50-59,30-39,0
5820,F,73000,2,6,6,105,21,2,0,80+,5-9,5-9,0-4,90-100,30-39,0-9,30-39,2
5821,M,62000,4,5,5,199,18,2,1,70-79,10-14,5-9,5-9,90-100,80-89,10-19,30-39,0
5822,M,33000,0,3,3,13,2,1,1,11-19,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
5823,M,57000,4,6,6,402,28,2,1,60-69,10-14,5-9,5-9,90-100,60-69,10-19,30-39,0
5824,M,45000,0,3,3,40,3,2,1,40-49,10-14,0-4,0-4,90-100,0-9,50-59,50-59,0
5825,M,30000,0,1,2,64,6,1,1,30-39,10-14,0-4,0-4,50-59,0-9,90-100,50-59,0
5826,M,37000,0,4,5,8,1,1,3,40-49,5-9,0-4,5-9,80-89,0-9,40-49,50-59,2
5827,M,39000,4,3,5,125,8,2,2,20-29,15-19,5-9,5-9,60-69,80-89,40-49,40-49,0
5828,F,40000,1,2,3,42,3,1,2,40-49,10-14,0-4,0-4,60-69,30-39,50-59,50-59,0
5829,F,53000,0,4,4,33,2,3,0,80+,15-19,5-9,0-4,90-100,0-9,0-9,30-39,-1
5830,M,61000,4,5,5,187,17,2,1,20-29,10-14,5-9,5-9,90-100,80-89,10-19,30-39,0
5831,F,76000,4,4,5,243,20,1,3,50-59,10-14,0-4,5-9,80-89,80-89,30-39,30-39,0
5832,M,64000,0,2,4,5,1,2,1,60-69,0-4,0-4,0-4,50-59,0-9,90-100,50-59,0
5833,M,49000,4,3,4,145,10,3,1,20-29,10-14,5-9,0-4,70-79,90-100,50-59,30-39,0
5834,F,53000,4,5,5,73,12,1,2,70-79,5-9,5-9,5-9,90-100,80-89,30-39,10-19,2
5835,F,62000,4,3,4,80,4,1,2,30-39,20-24,5-9,5-9,70-79,90-100,40-49,10-19,0
5836,F,51000,2,1,4,115,19,2,2,40-49,5-9,0-4,0-4,20-29,50-59,60-69,50-59,-1
5837,M,48000,0,1,4,9,4,1,2,40-49,0-4,0-4,0-4,20-29,0-9,60-69,50-59,0
5838,M,35000,4,4,5,113,9,3,1,60-69,10-14,10-14,0-4,80-89,80-89,30-39,30-39,0
5839,M,61000,0,2,3,119,17,0,2,40-49,5-9,0-4,0-4,60-69,0-9,60-69,30-39,2
5840,F,93000,3,3,4,139,23,1,2,50-59,5-9,0-4,5-9,70-79,70-79,40-49,30-39,2
5841,M,70000,2,5,5,63,4,3,1,70-79,15-19,5-9,0-4,90-100,40-49,30-39,40-49,0
5842,M,72000,4,3,5,199,18,0,2,50-59,10-14,0-4,10-14,60-69,80-89,20-29,40-49,0
5843,M,62000,2,4,5,55,2,2,1,20-29,20-24,0-4,5-9,80-89,40-49,10-19,50-59,0
5844,F,91000,2,2,3,120,20,1,1,80+,5-9,0-4,0-4,60-69,60-69,30-39,30-39,2
5845,M,50000,4,2,4,217,13,2,2,20-29,15-19,5-9,5-9,50-59,90-100,40-49,40-49,0
5846,M,67000,2,4,6,128,11,3,2,20-29,10-14,5-9,0-4,60-69,30-39,50-59,30-39,0
5847,M,31000,0,2,3,6,3,1,1,11-19,0-4,0-4,0-4,60-69,0-9,90-100,50-59,0
5848,M,89000,4,2,4,202,25,1,2,50-59,5-9,0-4,5-9,50-59,90-100,20-29,50-59,2
5849,M,79000,2,3,4,204,22,3,0,60-69,5-9,5-9,0-4,70-79,50-59,0-9,40-49,2
5850,M,59000,0,3,5,20,2,1,2,30-39,5-9,0-4,0-4,60-69,0-9,50-59,90-100,-1
5851,F,89000,3,4,4,75,25,1,2,40-49,0-4,0-4,5-9,90-100,70-79,30-39,30-39,0
5852,F,57000,3,3,5,188,15,2,2,70-79,10-14,0-4,5-9,60-69,60-69,30-39,50-59,0
5853,F,65000,0,5,6,15,1,1,1,70-79,5-9,0-4,5-9,80-89,0-9,10-19,20-29,-1
5854,F,57000,2,3,4,108,13,1,1,50-59,5-9,0-4,0-4,70-79,50-59,30-39,30-39,2
5855,M,66000,3,4,4,51,17,2,2,70-79,0-4,5-9,5-9,90-100,70-79,40-49,30-39,0
5856,M,75000,1,2,4,21,4,2,1,60-69,5-9,0-4,0-4,50-59,20-29,30-39,50-59,2
5857,F,37000,1,3,4,17,2,0,2,20-29,5-9,0-4,5-9,70-79,20-29,20-29,50-59,-1
5858,M,71000,1,1,3,149,18,1,0,70-79,5-9,0-4,0-4,30-39,30-39,0-9,30-39,-1
5859,F,58000,2,3,4,70,3,0,2,60-69,15-19,0-4,5-9,70-79,50-59,20-29,30-39,0
5860,F,78000,2,5,5,63,31,3,1,50-59,0-4,5-9,5-9,90-100,40-49,20-29,40-49,0
5861,F,85000,2,1,3,140,23,2,1,70-79,5-9,0-4,0-4,30-39,60-69,50-59,50-59,-1
5862,M,38000,1,3,4,18,6,1,2,50-59,0-4,0-4,0-4,70-79,20-29,50-59,50-59,0
5863,M,42000,1,3,4,24,2,1,2,80+,10-14,0-4,0-4,70-79,20-29,50-59,50-59,0
5864,F,112000,2,3,5,51,25,1,1,80+,0-4,5-9,0-4,60-69,40-49,30-39,20-29,-1
5865,F,88000,4,3,4,225,25,2,2,70-79,5-9,5-9,5-9,70-79,90-100,40-49,30-39,2
5866,F,72000,3,3,4,173,19,2,1,70-79,5-9,5-9,0-4,70-79,70-79,20-29,30-39,2
5867,M,62000,4,3,4,208,16,2,2,30-39,10-14,5-9,5-9,70-79,90-100,40-49,30-39,0
5868,M,42000,0,4,4,17,2,1,0,70-79,5-9,0-4,0-4,90-100,0-9,0-9,20-29,1
5869,F,111000,5,4,6,312,26,2,3,60-69,10-14,5-9,5-9,60-69,80-89,30-39,20-29,0
5870,F,81000,1,1,3,130,26,0,2,50-59,5-9,0-4,0-4,30-39,30-39,50-59,20-29,2
5871,M,34000,0,4,6,6,2,2,1,40-49,0-4,0-4,0-4,60-69,0-9,20-29,60-69,0
5872,M,60000,0,6,6,23,11,1,2,70-79,0-4,0-4,5-9,90-100,0-9,30-39,20-29,-1
5873,F,97000,2,2,2,103,20,1,1,80+,5-9,0-4,0-4,90-100,90-100,30-39,30-39,2
5874,M,43000,0,3,4,14,4,3,0,70-79,0-4,5-9,0-4,70-79,0-9,0-9,40-49,0
5875,M,53000,4,6,6,248,12,2,1,70-79,20-24,5-9,0-4,90-100,60-69,30-39,20-29,0
5876,M,35000,3,3,4,90,9,1,2,20-29,10-14,0-4,5-9,70-79,70-79,40-49,30-39,0
5877,M,74000,4,5,5,298,19,0,3,50-59,15-19,0-4,10-14,90-100,80-89,20-29,30-39,0
5878,M,61000,2,4,4,67,11,2,1,70-79,5-9,5-9,0-4,90-100,50-59,30-39,40-49,2
5879,M,34000,1,1,3,84,28,0,3,50-59,0-4,0-4,5-9,30-39,30-39,60-69,40-49,-1
5880,M,95000,5,4,6,231,28,2,2,80+,5-9,5-9,5-9,60-69,80-89,20-29,30-39,2
5881,F,44000,4,3,5,154,10,3,1,30-39,15-19,5-9,0-4,60-69,80-89,50-59,30-39,0
5882,F,54000,2,3,5,21,3,0,4,20-29,5-9,0-4,5-9,60-69,40-49,50-59,30-39,-1
5883,F,38000,1,3,4,95,7,1,1,80+,10-14,0-4,0-4,70-79,20-29,30-39,50-59,0
5884,F,88000,3,4,4,125,20,2,1,50-59,5-9,5-9,0-4,90-100,70-79,30-39,30-39,2
5885,M,50000,1,2,3,72,12,0,1,60-69,5-9,0-4,0-4,60-69,30-39,20-29,30-39,-1
5886,M,70000,4,4,4,193,17,2,1,50-59,10-14,5-9,5-9,90-100,90-100,10-19,30-39,0
5887,M,74000,1,2,3,177,22,2,0,30-39,5-9,0-4,0-4,60-69,30-39,0-9,50-59,2
5888,M,50000,3,4,5,71,10,2,2,50-59,5-9,0-4,5-9,80-89,60-69,30-39,50-59,2
5889,M,36000,0,2,2,12,1,1,0,20-29,5-9,0-4,0-4,90-100,0-9,0-9,20-29,1
5890,M,32000,2,3,4,90,6,2,2,20-29,10-14,5-9,0-4,70-79,50-59,50-59,40-49,0
5891,F,71000,3,2,4,49,16,1,2,80+,0-4,0-4,5-9,50-59,70-79,30-39,30-39,0
5892,M,44000,0,2,4,14,2,1,3,20-29,5-9,0-4,5-9,50-59,0-9,60-69,90-100,-1
